Album	Artist	Year	Popularity	My Rating	Artist Avg Rating	YouTube Music URL	skip_count	last_action
Ella and Louis	Ella Fitzgerald and Louis Armstrong	1956	94	80	72	https://music.youtube.com/playlist?list=OLAK5uy_kEReN5gYSsljhOw0uTSgNDZ-WlAcxz4IE	2	skipped
Heavy Weather	Weather Report	1977	92	55	70	https://music.youtube.com/playlist?list=OLAK5uy_npb8ZeD8lbqW2CIgC_nSFPwT4zVP5-x_M	1	skipped
Mysterious Traveller	Weather Report	1974	88		70	https://music.youtube.com/playlist?list=OLAK5uy_k-3uTn4uWGi_w5uhqSHLxZfazrRVaFFXw	1	skipped
Return to Forever	Chick Corea	1972	88		71	https://music.youtube.com/playlist?list=OLAK5uy_myh8xBQMHZu-xv53UGxk1Nee5DRzKDG7E	1	skipped
Unit Structures	Cecil Taylor	1966	86		70	https://music.youtube.com/playlist?list=OLAK5uy_nX5K7SWASBJub3UwJdRXAOtP_KF7Bmuzg	1	skipped
Kelly Blue	Wynton Kelly	1959	86		70	https://music.youtube.com/playlist?list=OLAK5uy_mZ3_qELv3sKBGqU_d2m6f8EC5E1YDs8Ro	1	skipped
A Fickle Sonance	Jackie McLean	1962	84		70	https://music.youtube.com/playlist?list=OLAK5uy_nduj0dcvSao_cnukDkMetfedBH6EJUU4w	2	skipped
West Coast Jazz	Stan Getz	1955	84	68	71	https://music.youtube.com/playlist?list=OLAK5uy_nunghSVtWUysfpd9SSPe6ewI9X2WuNzDs	2	skipped
Black Focus	Yussef Kamaal	2016	83	70	70	https://music.youtube.com/playlist?list=OLAK5uy_l4y98EX0hzTSAuqlPUSpFuAYnvZpztQyo	1	skipped
From the Stairwell	The Kilimanjaro Darkjazz Ensemble	2011	83	75	72	https://music.youtube.com/playlist?list=OLAK5uy_l-3NeLGqThhQYmKyvoXb57U1XzAITWy_c	1	skipped
The Mourning of a Star	Keith Jarrett	1971	83	70	71	https://music.youtube.com/playlist?list=OLAK5uy_kcORGNPBKjIXdgFK1XdU5ogcC7vzJATEw	1	skipped
Suite for Max Brown	Jeff Parker	2020	82	69	70	https://music.youtube.com/playlist?list=OLAK5uy_n5_NvJ_gdpk7Q2Ipl3LKOmf33D_-sL3a0	1	skipped
Michael Brecker	Michael Brecker	1987	82		71	https://music.youtube.com/playlist?list=OLAK5uy_lOS_GutW6n-1N6jnA1pIApUFhN4VoJlYI	0	
Standard Time, Vol. 1	Wynton Marsalis	1987	82		71	https://music.youtube.com/playlist?list=OLAK5uy_kFSFXpWfdKqXcxmd5D-tqPhU-7kV1cHxk	1	skipped
SOURCE	Nubya Garcia	2020	79	73	71	https://music.youtube.com/playlist?list=OLAK5uy_koUUOXZKN7uvIIgIIj0d3_Dy2MhFtalSY	2	skipped
Flight	James Brandon Lewis		79		70		2	skipped
Deodato 2	Eumir Deodato	1973	78		70	https://music.youtube.com/playlist?list=OLAK5uy_mTjlB-t6HxFd85i1_mL0ec4Zr3Yfh_uXE	2	skipped
Black Classical Music	Yussef Dayes	2023	50	72	70	https://music.youtube.com/playlist?list=OLAK5uy_kTFM1QhJsmove4zIrhbIrDqjOOsmJdN6I	1	skipped
Black Earth	Bohren & der Club of Gore	2002	50	73	72	https://music.youtube.com/playlist?list=OLAK5uy_n01qXPGOrYqTGxr599HrK_XjdYhF1oDUA	0	
Breezin'	Masayoshi Takanaka	1977	50		71	https://music.youtube.com/playlist?list=OLAK5uy_nZHT2_UZdLrg9qdjtoG5aR3OLwPA4MjUY	1	skipped
Cat	Hiroshi Suzuki	1975	50	74	71	https://music.youtube.com/playlist?list=OLAK5uy_mefB1b1p2YIVDTROpEHUsFjWvR5wJhzYw	0	
Troupeau Bleu	Cortex	1975	50	73	70	https://music.youtube.com/playlist?list=OLAK5uy_kAvEij43J5GYQaLVdL4hzUKsWSEDHgYdc	0	
Places and Spaces	Donald Byrd	1975	50	66	70	https://music.youtube.com/playlist?list=OLAK5uy_nT77whnlCosd9D6EBlyD-6SL3we0rnEW8	1	skipped
Windows	Jack Wilkins	1973	50		70	https://music.youtube.com/playlist?list=OLAK5uy_mlW-_baSNQtKx6958sGBvfOhZF8XO9-7o	1	skipped
A New Perspective	Donald Byrd	1964	50	74	70	https://music.youtube.com/playlist?list=OLAK5uy_lXoGj-IIACcpuhQPuXZoiS91cSBBKFQGk	1	skipped
Coltrane's Sound	John Coltrane	1964	50	72	73	https://music.youtube.com/playlist?list=OLAK5uy_nEos1R8BA6s0s1tQmnQVfagWPYSMQJFmc	0	
